SEQ_CID_10_CAPITULO,DSC_CAPITULO,COD_CID_10,DSC_CID_10
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A00,COLERA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A000,"COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A001,"COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO EL TOR"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A009,COLERA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A01,FEBRE TIFOIDE E PARATIFOIDE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A010,FEBRE TIFOIDE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A011,FEBRE PARATIFOIDE A
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A012,FEBRE PARATIFOIDE B
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A013,FEBRE PARATIFOIDE C
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A014,FEBRE PARATIFOIDE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A02,OUTRAS INFECCOES POR SALMONELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A020,ENTERITE POR SALMONELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A021,SEPTICEMIA POR SALMONELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A022,INFECCOES LOCALIZADAS POR SALMONELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A028,OUTRAS INFECCOES ESPECIFICADAS POR SALMONELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A029,INFECCAO NE POR SALMONELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A03,SHIGUELOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A030,SHIGUELOSE DEVIDA A SHIGELLA DYSENTERIAE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A031,SHIGUELOSE DEVIDA A SHIGELLA FLEXNERI
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A032,SHIGUELOSE DEVIDA A SHIGELLA BOYDII
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A033,SHIGUELOSE DEVIDA A SHIGELLA SONNEI
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A038,OUTRAS SHIGUELOSES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A039,SHIGUELOSE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A04,OUTRAS INFECCOES INTESTINAIS BACTERIANAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A040,INFECCAO POR ESCHERICHIA COLI ENTEROPATOGENICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A041,INFECCAO POR ESCHERICHIA COLI ENTEROTOXIGENICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A042,INFECCAO POR ESCHERICHIA COLI ENTEROINVASIVA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A043,INFECCAO POR ESCHERICHIA COLI ENTEROHEMORRAGICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A044,OUTRAS INFECCOES INTESTINAIS POR ESCHERICHIA COLI
