cid_10,descritor_cid
A00,COLERA
A000,"COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE"
A001,"COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO EL TOR"
A009,COLERA NE
A01,FEBRE TIFOIDE E PARATIFOIDE
A010,FEBRE TIFOIDE
A011,FEBRE PARATIFOIDE A
A012,FEBRE PARATIFOIDE B
A013,FEBRE PARATIFOIDE C
A014,FEBRE PARATIFOIDE NE
A02,OUTRAS INFECCOES POR SALMONELLA
A020,ENTERITE POR SALMONELLA
A021,SEPTICEMIA POR SALMONELLA
A022,INFECCOES LOCALIZADAS POR SALMONELLA
A028,OUTRAS INFECCOES ESPECIFICADAS POR SALMONELLA
A029,INFECCAO NE POR SALMONELLA
A03,SHIGUELOSE
A030,SHIGUELOSE DEVIDA A SHIGELLA DYSENTERIAE
A031,SHIGUELOSE DEVIDA A SHIGELLA FLEXNERI
A032,SHIGUELOSE DEVIDA A SHIGELLA BOYDII
A033,SHIGUELOSE DEVIDA A SHIGELLA SONNEI
A038,OUTRAS SHIGUELOSES
A039,SHIGUELOSE NE
A04,OUTRAS INFECCOES INTESTINAIS BACTERIANAS
A040,INFECCAO POR ESCHERICHIA COLI ENTEROPATOGENICA
A041,INFECCAO POR ESCHERICHIA COLI ENTEROTOXIGENICA
A042,INFECCAO POR ESCHERICHIA COLI ENTEROINVASIVA
A043,INFECCAO POR ESCHERICHIA COLI ENTEROHEMORRAGICA
A044,OUTRAS INFECCOES INTESTINAIS POR ESCHERICHIA COLI
A045,ENTERITE POR CAMPYLOBACTER
A046,ENTERITE DEVIDA A YERSINIA ENTEROCOLITICA
A047,ENTEROCOLITE DEVIDA A CLOSTRIDIUM DIFFICILE
A048,OUTRAS INFECCOES BACTERIANAS INTESTINAIS ESPECIFICADAS
A049,INFECCAO INTESTINAL BACTERIANA NE
A05,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS
A050,INTOXICACAO ALIMENTAR ESTAFILOCOCICA
A051,BOTULISMO
A052,INTOXICACAO ALIMENTAR DEVIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053,INTOXICACAO ALIMENTAR DEVIDA A VIBRIO PARAHEMOLYTICUS
A054,INTOXICACAO ALIMENTAR DEVIDA A BACILLUS CEREUS
A058,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS ESPECIFICADAS
A059,INTOXICACAO ALIMENTAR BACTERIANA NE
A06,AMEBIASE
A060,DISENTERIA AMEBIANA AGUDA
A061,AMEBIASE INTESTINAL CRONICA
A062,COLITE AMEBIANA NAO-DISENTERICA
A063,AMEBOMA INTESTINAL
A064,ABSCESSO AMEBIANO DO FIGADO
A065,ABSCESSO AMEBIANO DO PULMAO
A066,ABSCESSO AMEBIANO DO CEREBRO
A067,AMEBIASE CUTANEA
A068,INFECCAO AMEBIANA DE OUTRAS LOCALIZACOES
A069,AMEBIASE NE
A07,OUTRAS DOENCAS INTESTINAIS POR PROTOZOARIOS
A070,BALANTIDIASE
A071,GIARDIASE [LAMBLIASE]
A072,CRIPTOSPORIDIOSE
A073,ISOSPORIASE
A078,OUTRAS DOENCAS INTESTINAIS ESPECIFICADAS POR PROTOZOARIOS
A079,DOENCA INTESTINAL NE POR PROTOZOARIOS
