cid_id,cid_10,descritor_cid
1,A00,COLERA
2,A000,"COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE"
3,A001,"COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO EL TOR"
4,A009,COLERA NE
5,A01,FEBRE TIFOIDE E PARATIFOIDE
6,A010,FEBRE TIFOIDE
7,A011,FEBRE PARATIFOIDE A
8,A012,FEBRE PARATIFOIDE B
9,A013,FEBRE PARATIFOIDE C
10,A014,FEBRE PARATIFOIDE NE
11,A02,OUTRAS INFECCOES POR SALMONELLA
12,A020,ENTERITE POR SALMONELLA
13,A021,SEPTICEMIA POR SALMONELLA
14,A022,INFECCOES LOCALIZADAS POR SALMONELLA
15,A028,OUTRAS INFECCOES ESPECIFICADAS POR SALMONELLA
16,A029,INFECCAO NE POR SALMONELLA
17,A03,SHIGUELOSE
18,A030,SHIGUELOSE DEVIDA A SHIGELLA DYSENTERIAE
19,A031,SHIGUELOSE DEVIDA A SHIGELLA FLEXNERI
20,A032,SHIGUELOSE DEVIDA A SHIGELLA BOYDII
21,A033,SHIGUELOSE DEVIDA A SHIGELLA SONNEI
22,A038,OUTRAS SHIGUELOSES
23,A039,SHIGUELOSE NE
24,A04,OUTRAS INFECCOES INTESTINAIS BACTERIANAS
25,A040,INFECCAO POR ESCHERICHIA COLI ENTEROPATOGENICA
26,A041,INFECCAO POR ESCHERICHIA COLI ENTEROTOXIGENICA
27,A042,INFECCAO POR ESCHERICHIA COLI ENTEROINVASIVA
28,A043,INFECCAO POR ESCHERICHIA COLI ENTEROHEMORRAGICA
29,A044,OUTRAS INFECCOES INTESTINAIS POR ESCHERICHIA COLI
30,A045,ENTERITE POR CAMPYLOBACTER
31,A046,ENTERITE DEVIDA A YERSINIA ENTEROCOLITICA
32,A047,ENTEROCOLITE DEVIDA A CLOSTRIDIUM DIFFICILE
33,A048,OUTRAS INFECCOES BACTERIANAS INTESTINAIS ESPECIFICADAS
34,A049,INFECCAO INTESTINAL BACTERIANA NE
35,A05,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS
36,A050,INTOXICACAO ALIMENTAR ESTAFILOCOCICA
37,A051,BOTULISMO
38,A052,INTOXICACAO ALIMENTAR DEVIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
39,A053,INTOXICACAO ALIMENTAR DEVIDA A VIBRIO PARAHEMOLYTICUS
40,A054,INTOXICACAO ALIMENTAR DEVIDA A BACILLUS CEREUS
41,A058,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS ESPECIFICADAS
42,A059,INTOXICACAO ALIMENTAR BACTERIANA NE
43,A06,AMEBIASE
44,A060,DISENTERIA AMEBIANA AGUDA
45,A061,AMEBIASE INTESTINAL CRONICA
46,A062,COLITE AMEBIANA NAO-DISENTERICA
47,A063,AMEBOMA INTESTINAL
48,A064,ABSCESSO AMEBIANO DO FIGADO
49,A065,ABSCESSO AMEBIANO DO PULMAO
50,A066,ABSCESSO AMEBIANO DO CEREBRO
51,A067,AMEBIASE CUTANEA
52,A068,INFECCAO AMEBIANA DE OUTRAS LOCALIZACOES
53,A069,AMEBIASE NE
54,A07,OUTRAS DOENCAS INTESTINAIS POR PROTOZOARIOS
55,A070,BALANTIDIASE
56,A071,GIARDIASE [LAMBLIASE]
57,A072,CRIPTOSPORIDIOSE
58,A073,ISOSPORIASE
59,A078,OUTRAS DOENCAS INTESTINAIS ESPECIFICADAS POR PROTOZOARIOS
60,A079,DOENCA INTESTINAL NE POR PROTOZOARIOS
61,A08,"INFECCOES INTESTINAIS VIRAIS, OUTRAS E AS NAO ESPECIFICADAS"
62,A080,ENTERITE POR ROTAVIRUS
63,A081,GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK
64,A082,ENTERITE POR ADENOVIRUS
65,A083,OUTRAS ENTERITES VIRAIS
66,A084,INFECCAO INTESTINAL DEVIDA A VIRUS NE
67,A085,OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS
68,A09,DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL
69,A15,"TUBERCULOSE RESPIRATORIA, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA"
